trigger_name,table_name,trigger_definition
update_document_folders_updated_at_trigger,document_folders,CREATE TRIGGER update_document_folders_updated_at_trigger BEFORE UPDATE ON public.document_folders FOR EACH ROW EXECUTE FUNCTION update_document_folders_updated_at()
update_documents_updated_at_trigger,documents,CREATE TRIGGER update_documents_updated_at_trigger BEFORE UPDATE ON public.documents FOR EACH ROW EXECUTE FUNCTION update_documents_updated_at()
update_flatrix_channel_partners_updated_at,flatrix_channel_partners,CREATE TRIGGER update_flatrix_channel_partners_updated_at BEFORE UPDATE ON public.flatrix_channel_partners FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_flatrix_commissions_updated_at,flatrix_commissions,CREATE TRIGGER update_flatrix_commissions_updated_at BEFORE UPDATE ON public.flatrix_commissions FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
log_conversion_change_trigger,flatrix_deals,CREATE TRIGGER log_conversion_change_trigger AFTER UPDATE ON public.flatrix_deals FOR EACH ROW EXECUTE FUNCTION log_conversion_status_change()
update_flatrix_deals_updated_at,flatrix_deals,CREATE TRIGGER update_flatrix_deals_updated_at BEFORE UPDATE ON public.flatrix_deals FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
lead-generate,flatrix_leads,"CREATE TRIGGER ""lead-generate"" AFTER INSERT ON public.flatrix_leads FOR EACH ROW EXECUTE FUNCTION supabase_functions.http_request('https://eflvzsfgoelonfclzrjy.supabase.co/functions/v1/new-lead-creation', 'POST', '{""Content-type"":""application/json"",""Authorization"":""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImVmbHZ6c2Znb2Vsb25mY2x6cmp5Iiwicm9sZSI6InNlcnZpY2Vfcm9sZSIsImlhdCI6MTc0NzY1NjE5MCwiZXhwIjoyMDYzMjMyMTkwfQ.5wn-NFj7rXyHmZ6imX0tfzfMKzYpzs7NBTVPrlFn15U""}', '{}', '5000')"
update_flatrix_leads_updated_at,flatrix_leads,CREATE TRIGGER update_flatrix_leads_updated_at BEFORE UPDATE ON public.flatrix_leads FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_flatrix_projects_updated_at,flatrix_projects,CREATE TRIGGER update_flatrix_projects_updated_at BEFORE UPDATE ON public.flatrix_projects FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_flatrix_properties_updated_at,flatrix_properties,CREATE TRIGGER update_flatrix_properties_updated_at BEFORE UPDATE ON public.flatrix_properties FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_flatrix_tasks_updated_at,flatrix_tasks,CREATE TRIGGER update_flatrix_tasks_updated_at BEFORE UPDATE ON public.flatrix_tasks FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_flatrix_users_updated_at,flatrix_users,CREATE TRIGGER update_flatrix_users_updated_at BEFORE UPDATE ON public.flatrix_users FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
trigger_generate_installation_number,installations,CREATE TRIGGER trigger_generate_installation_number BEFORE INSERT ON public.installations FOR EACH ROW EXECUTE FUNCTION generate_installation_number()
update_installations_updated_at_trigger,installations,CREATE TRIGGER update_installations_updated_at_trigger BEFORE UPDATE ON public.installations FOR EACH ROW EXECUTE FUNCTION update_installations_updated_at()
update_invoice_items_updated_at,invoice_items,CREATE TRIGGER update_invoice_items_updated_at BEFORE UPDATE ON public.invoice_items FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_invoices_updated_at,invoices,CREATE TRIGGER update_invoices_updated_at BEFORE UPDATE ON public.invoices FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_agents_updated_at,jc_agents,CREATE TRIGGER update_jc_agents_updated_at BEFORE UPDATE ON public.jc_agents FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_bookings_updated_at,jc_bookings,CREATE TRIGGER update_jc_bookings_updated_at BEFORE UPDATE ON public.jc_bookings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_cancellations_updated_at,jc_cancellations,CREATE TRIGGER update_jc_cancellations_updated_at BEFORE UPDATE ON public.jc_cancellations FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_channel_preferences_updated_at,jc_channel_preferences,CREATE TRIGGER update_jc_channel_preferences_updated_at BEFORE UPDATE ON public.jc_channel_preferences FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_coach_types_updated_at,jc_coach_types,CREATE TRIGGER update_jc_coach_types_updated_at BEFORE UPDATE ON public.jc_coach_types FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_coaches_updated_at,jc_coaches,CREATE TRIGGER update_jc_coaches_updated_at BEFORE UPDATE ON public.jc_coaches FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_communication_queue_updated_at,jc_communication_queue,CREATE TRIGGER update_jc_communication_queue_updated_at BEFORE UPDATE ON public.jc_communication_queue FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_crew_members_updated_at,jc_crew_members,CREATE TRIGGER update_jc_crew_members_updated_at BEFORE UPDATE ON public.jc_crew_members FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_daily_stats_updated_at,jc_daily_stats,CREATE TRIGGER update_jc_daily_stats_updated_at BEFORE UPDATE ON public.jc_daily_stats FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_message_templates_updated_at,jc_message_templates,CREATE TRIGGER update_jc_message_templates_updated_at BEFORE UPDATE ON public.jc_message_templates FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_notifications_updated_at,jc_notifications,CREATE TRIGGER update_jc_notifications_updated_at BEFORE UPDATE ON public.jc_notifications FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_operators_updated_at,jc_operators,CREATE TRIGGER update_jc_operators_updated_at BEFORE UPDATE ON public.jc_operators FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_passengers_updated_at,jc_passengers,CREATE TRIGGER update_jc_passengers_updated_at BEFORE UPDATE ON public.jc_passengers FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_routes_updated_at,jc_routes,CREATE TRIGGER update_jc_routes_updated_at BEFORE UPDATE ON public.jc_routes FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_stages_updated_at,jc_stages,CREATE TRIGGER update_jc_stages_updated_at BEFORE UPDATE ON public.jc_stages FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_trips_updated_at,jc_trips,CREATE TRIGGER update_jc_trips_updated_at BEFORE UPDATE ON public.jc_trips FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_jc_vehicle_assignments_updated_at,jc_vehicle_assignments,CREATE TRIGGER update_jc_vehicle_assignments_updated_at BEFORE UPDATE ON public.jc_vehicle_assignments FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_lead_products_updated_at,lead_products,CREATE TRIGGER update_lead_products_updated_at BEFORE UPDATE ON public.lead_products FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_leads_updated_at,leads,CREATE TRIGGER update_leads_updated_at BEFORE UPDATE ON public.leads FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_notifications_updated_at,notifications,CREATE TRIGGER update_notifications_updated_at BEFORE UPDATE ON public.notifications FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_products_updated_at,products,CREATE TRIGGER update_products_updated_at BEFORE UPDATE ON public.products FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
trigger_quotations_updated_at,quotations,CREATE TRIGGER trigger_quotations_updated_at BEFORE UPDATE ON public.quotations FOR EACH ROW EXECUTE FUNCTION update_quotations_updated_at()
update_sales_order_items_updated_at,sales_order_items,CREATE TRIGGER update_sales_order_items_updated_at BEFORE UPDATE ON public.sales_order_items FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_sales_orders_updated_at,sales_orders,CREATE TRIGGER update_sales_orders_updated_at BEFORE UPDATE ON public.sales_orders FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
trigger_update_complaints_updated_at,serene_complaints,CREATE TRIGGER trigger_update_complaints_updated_at BEFORE UPDATE ON public.serene_complaints FOR EACH ROW EXECUTE FUNCTION update_complaints_updated_at()
update_solutions_updated_at_trigger,solutions,CREATE TRIGGER update_solutions_updated_at_trigger BEFORE UPDATE ON public.solutions FOR EACH ROW EXECUTE FUNCTION update_solutions_updated_at()
trigger_process_stock_on_approval,stock_entries,"CREATE TRIGGER trigger_process_stock_on_approval AFTER UPDATE ON public.stock_entries FOR EACH ROW WHEN ((((new.status)::text = ANY ((ARRAY['approved'::character varying, 'completed'::character varying])::text[])) AND ((old.status)::text <> ALL ((ARRAY['approved'::character varying, 'completed'::character varying])::text[])))) EXECUTE FUNCTION process_stock_entry_approval()"
trigger_reverse_stock_on_entry_delete,stock_entries,CREATE TRIGGER trigger_reverse_stock_on_entry_delete BEFORE DELETE ON public.stock_entries FOR EACH ROW EXECUTE FUNCTION reverse_stock_entry()
update_stock_entries_updated_at,stock_entries,CREATE TRIGGER update_stock_entries_updated_at BEFORE UPDATE ON public.stock_entries FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
trigger_update_entry_totals,stock_entry_items,CREATE TRIGGER trigger_update_entry_totals AFTER INSERT OR DELETE OR UPDATE ON public.stock_entry_items FOR EACH ROW EXECUTE FUNCTION update_stock_entry_totals()
update_stock_entry_items_updated_at,stock_entry_items,CREATE TRIGGER update_stock_entry_items_updated_at BEFORE UPDATE ON public.stock_entry_items FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_user_count,users,CREATE TRIGGER update_user_count AFTER INSERT OR DELETE ON public.users FOR EACH ROW EXECUTE FUNCTION update_company_user_count()
update_users_updated_at,users,CREATE TRIGGER update_users_updated_at BEFORE UPDATE ON public.users FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
