schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,jc_passengers,Service role has full access to jc_passengers,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_routes,Service role has full access to jc_routes,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_stages,Service role has full access to jc_stages,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_sync_jobs,Service role has full access to jc_sync_jobs,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_ticket_shifts,Service role has full access to jc_ticket_shifts,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_ticket_updates,Service role has full access to jc_ticket_updates,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_trip_crew,Service role has full access to jc_trip_crew,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_trips,Service role has full access to jc_trips,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_vehicle_assignments,Service role has full access to jc_vehicle_assignments,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_webhook_events,Service role has full access to jc_webhook_events,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,lead_field_configurations,Users can delete lead field configs from their company,PERMISSIVE,{public},DELETE,true,null
public,lead_field_configurations,Users can insert lead field configs to their company,PERMISSIVE,{public},INSERT,null,true
public,lead_field_configurations,Users can update lead field configs from their company,PERMISSIVE,{public},UPDATE,true,null
public,lead_field_configurations,Users can view lead field configs from their company,PERMISSIVE,{public},SELECT,true,null
public,notifications,Company admin read,PERMISSIVE,{authenticated},SELECT,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true))))",null
public,notifications,Company admin see company notifications,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true) AND ((users.company_id = notifications.company_id) OR (notifications.user_id = auth.uid())))))",null
public,notifications,Super admin access,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_super_admin = true))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_super_admin = true))))"
public,notifications,User read own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),null
public,notifications,company_admin_company_access,PERMISSIVE,{authenticated},SELECT,"((EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true) AND (users.company_id = notifications.company_id)))) OR (user_id = auth.uid()))",null
public,notifications,super_admin_all_access,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_super_admin = true))))",null
public,notifications,system_create_access,PERMISSIVE,{authenticated},INSERT,null,true
public,notifications,users_mark_read_access,PERMISSIVE,{authenticated},UPDATE,"((EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_super_admin = true)))) OR ((EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true) AND (users.company_id = notifications.company_id)))) OR (user_id = auth.uid())) OR ((user_id = auth.uid()) OR ((company_id IN ( SELECT users.company_id
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.company_id IS NOT NULL)))) AND (NOT (EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true))))))))",null
public,notifications,users_personal_company_access,PERMISSIVE,{authenticated},SELECT,"((user_id = auth.uid()) OR ((company_id IN ( SELECT users.company_id
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.company_id IS NOT NULL)))) AND (NOT (EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true)))))))",null
public,product_field_configurations,Users can delete product field configs from their company,PERMISSIVE,{public},DELETE,true,null
public,product_field_configurations,Users can insert product field configs to their company,PERMISSIVE,{public},INSERT,null,true
public,product_field_configurations,Users can update product field configs from their company,PERMISSIVE,{public},UPDATE,true,null
public,product_field_configurations,Users can view product field configs from their company,PERMISSIVE,{public},SELECT,true,null
public,stock_entries,stock_entries_company_policy,PERMISSIVE,{public},ALL,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,stock_entry_items,stock_entry_items_company_policy,PERMISSIVE,{public},ALL,"(stock_entry_id IN ( SELECT stock_entries.id
   FROM stock_entries
  WHERE (stock_entries.company_id IN ( SELECT users.company_id
           FROM users
          WHERE (users.id = auth.uid())))))",null
public,stock_transactions,stock_transactions_company_policy,PERMISSIVE,{public},ALL,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,user_roles,allow_all_roles_access,PERMISSIVE,{public},ALL,true,null
public,users,allow_all_users_access,PERMISSIVE,{public},ALL,true,null
